20230831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID Portafolio,20230831,20230830,20230829,20230828,20230825,20230824,20230823,20230822,20230821,20230818,20230817,20230816,20230815,20230814,20230811,20230810,20230809,20230808,20230807,20230804,20230803,20230802,20230801,20230731,20230728,20230727,20230726,20230725,20230724,20230721,20230720,20230719,20230718,20230717,20230714,20230713,20230712,20230711,20230710,20230707,20230706,20230705,20230704,20230703,20230630,20230629,20230628,20230627,20230626,20230623,20230622,20230621,20230620,20230619,20230616,20230615,20230614,20230613,20230612,20230609,20230608,20230607,20230606,20230605,20230602,20230601,20230531,20230530,20230529,20230526,20230525,20230524,20230523,20230522,20230519,20230518,20230517,20230516,20230515,20230512,20230511,20230510,20230509,20230508,20230505,20230504,20230503,20230502,20230428,20230427,20230426,20230425,20230424,20230421,20230420,20230419,20230418,20230417,20230414,20230413,20230412,20230411,20230410,20230405,20230404,20230403,20230331,20230330,20230329,20230328,20230327,20230324,20230323,20230322,20230321,20230317,20230316,20230315,20230314,20230313,20230310,20230309,20230308,20230307,20230306,20230303,20230302,20230301,20230228,20230227,20230224,20230223,20230222,20230221,20230220,20230217,20230216,20230215,20230214,20230213,20230210,20230209,20230208,20230207,20230203,20230202,20230201,20230131,20230130,20230127,20230126,20230125,20230124,20230123,20230120,20230119,20230118,20230117,20230116,20230113,20230112,20230111,20230110,20230109,20230106,20230105,20230104,20230103,20230102,20221230,20221229,20221228,20221227,20221226,20221223,20221222,20221221,20221220,20221219,20221216,20221215,20221214,20221213,20221209,20221208,20221207,20221206,20221205,20221202,20221201,20221130,20221129,20221128,20221125,20221124,20221123,20221122,20221118,20221117,20221116,20221115,20221114,20221111,20221110,20221109,20221108,20221107,20221104,20221103,20221101,20221031,20221028,20221027,20221026,20221025,20221024,20221021,20221020,20221019,20221018,20221017,20221014,20221013,20221012,20221011,20221010,20221007,20221006,20221005,20221004,20221003,20220930,20220929,20220928,20220927,20220926,20220923,20220922,20220921,20220920,20220919,20220915,20220914,20220913,20220912,20220909,20220908,20220907,20220906,20220905,20220902,20220901,20220831,20220830,20220829,20220826,20220825,20220824,20220823,20220822,20220819,20220818,20220817,20220816,20220815,20220812,20220811,20220810,20220809,20220808,20220805,20220804,20220803,20220802,20220801,20220729,20220728,20220727,20220726,20220725,20220722,20220721,20220720,20220719,20220718,20220715,20220714,20220713,20220712,20220711,20220708,20220707,20220706,20220705,20220704,20220701,20220630,20220629,20220628,20220627,20220624,20220623,20220622,20220621,20220620,20220617,20220616,20220615,20220614,20220613,20220610,20220609,20220608,20220607,20220606,20220603,20220602,20220601,20220531,20220530,20220527,20220526,20220525,20220524,20220523,20220520,20220519,20220518,20220517,20220516,20220513,20220512,20220511,20220510,20220509,20220506,20220505,20220504,20220503,20220502,20220429,20220428,20220427,20220426,20220425,20220422,20220421,20220420,20220419,20220418,20220413,20220412,20220411,20220408,20220407,20220406,20220405,20220404,20220401,20220331,20220330,20220329,20220328,20220325,20220324,20220323,20220322,20220318,20220317,20220316,20220315,20220314,20220311,20220310,20220309,20220308,20220307,20220304,20220303,20220302,20220301,20220228,20220225,20220224,20220223,20220222,20220221,20220218,20220217,20220216,20220215,20220214,20220211,20220210,20220209,20220208,20220204,20220203,20220202,20220201,20220131,20220128,20220127,20220126,20220125,20220124,20220121,20220120,20220119,20220118,20220117,20220114,20220113,20220112,20220111,20220110,20220107,20220106,20220105,20220104,20220103,20211231,20211230,20211229,20211228,20211227,20211224,20211223,20211222,20211221,20211220,20211217,20211216,20211215,20211214,20211213,20211210,20211209,20211208,20211207,20211206,20211203,20211202,20211201,20211130,20211129,20211126,20211125,20211124,20211123,20211122,20211119,20211118,20211117,20211116,20211112,20211111,20211110,20211109,20211108,20211105,20211104,20211103,20211101,20211029,20211028,20211027,20211026,20211025,20211022,20211021,20211020,20211019,20211018,20211015,20211014,20211013,20211012,20211011,20211008,20211007,20211006,20211005,20211004,20211001,20210930,20210929,20210928,20210927,20210924,20210923,20210922,20210921,20210920,20210917,20210915,20210914,20210913,20210910,20210909
DERIVADOS DE NEGOCIACION,"3,208,895.82","1,065,128.33","3,333,119.33","1,271,467.64","-2,253,597.00","3,680,837.15","3,194,160.97","-3,213,507.59","-7,035,677.93","-1,796,213.52","-2,081,248.68","-957,956.10","3,017,229.14","1,735,790.33","1,870,007.18","-4,864,254.04","1,709,177.09",-1379573.721,"618,943.16","674,613.69","642,546.84","2,405,490.68","-2,409,225.54",-3062867.774,"-2,131,516.32","-3,195,898.87","-726,281.77","-2,072,357.63","-4,173,434.72","3,254,153.12","-4,314,685.93","-6,614,193.84","-1,768,532.82","-495,047.12","-1,615,270.37","-4,055,814.67","2,640,784.27","-5,770,575.55","-1,594,174.38","-5,656,120.43","-107,842.74","1,793,871.68","5,659,286.33","1,342,882.05","1,217,663.62","12,903,555.67","962,223.94","-1,014,047.17",323304.2304,"2,979,017.62","5,286,849.03","4,006,380.87","-403,440.79","11,702,739.64","2,753,355.37","4,403,149.08","-7,220,602.52","-7,312,578.67","-4,797,457.43","-2,463,896.34","-4,589,969.04","-1,598,429.11","-3,349,455.25",4339031.087,"1,652,222.39","7,135,667.45","-2,286,212.87","-4,800,735.81","1,262,143.83","3,603,346.13","8,768,516.44","-161,680.29","-2,432,972.48","-12,383,773.42","7,986,399.30","-4,055,818.37","-5,384,886.91","-3,390,425.18","-451,957.56","1,519,102.62","1,658,802.38","-80,956.66","-839,675.48",-1494976.382,"-196,128.71","-674,234.89","-337,341.51","5,764,740.09","10,204,316.57","-3,239,201.13","2,861,397.09","298,105.22","987,058.32","-1,540,216.70","3,018,459.49","-3,501,222.09","899,606.07","829,611.53","-1,195,007.07",-7418143.736,"-10,340,074.16","-12,888,199.85",3924126.693,"6,884,531.34","1,185,851.04","222,400.79",-504791.9271,"-3,191,585.74","-775,748.13","-6,189,369.99","-663,791.02",1454946.333,"-567,901.12","416,709.02","2,800,591.84","377,392.60",4518157.691,-5911684.924,"2,427,262.86","-562,687.84","-1,190,661.99",1950008.633,"-2,096,386.07","8,116,341.39",346739.7564,"-6,433,763.18","1,986,774.70","-515,123.39","1,544,842.05","655,372.11","-5,684,241.24","568,674.33",-4437657.617,"-3,258,902.74",-2757123.474,"613,856.20","-3,092,952.25","779,173.96","-3,190,181.29","-1,302,074.74","1,391,217.41","177,306.84","2,690,398.49","5,999,630.74","7,258,730.83","-1,123,452.87",295054.2239,"-799,362.26","749,851.94","-1,940,052.14","1,665,324.27","4,879,804.12","-1,263,727.97",4095084.874,"2,417,401.61","1,786,987.23","3,615,213.82",15670.88653,"2,550,852.11","-3,281,759.40","2,008,450.36","-5,259,401.55","-2,844,607.12","7,133,542.73","-2,135,119.57","5,410,399.70",-109638.5302,"-2,624,024.99","1,977,107.97","-3,426,973.91","-1,534,563.52","-1,416,701.59","681,058.43","-1,008,996.28","-2,328,483.24",272.21,"-172,663.29","-2,966,285.02","-111,679.66","-3,652,557.34","-1,662,332.27","2,579,525.17","662,127.98","-1,873,646.82","538,776.94","1,680,098.54","-409,726.89","1,421,064.58","2,014,058.47","4,347,084.72","9,567,340.81",9128862.767,"-4,101,400.35","236,109.08","-1,946,556.37","-1,179,887.73","-3,520,761.98","-2,785,671.81","510,070.30","108,289.79","468,493.13",1615739.526,"-869,329.99","-781,526.66","1,300,500.38","696,324.41","2,158,931.58",-5166163.835,"-8,504,488.23",200269.2827,"6,882,923.07","3,197,434.60","-4,667,074.03","-151,990.95","-4,209,081.23","-1,442,355.54","-132,552.92","436,221.86","2,721,362.36","-2,854,942.79","-2,117,751.81","-1,807,345.84","-3,132,624.60","-1,993,589.90","-2,480,914.92","-4,491,578.40","5,308,081.79","-5,862,752.59","-3,751,268.42","46,055.21",-708219.3434,"7,312,107.96","-8,211,799.93",-616095.359,"3,756,816.92","6,828,903.44","4,289,654.45","-794,286.32","3,690,539.45","4,649,945.96","-1,221,791.14","-1,243,240.27","1,806,554.76","-369,485.54","-679,068.01",2153645.748,"4,051,381.86","2,294,789.87","-5,657,207.18","-2,049,174.03","521,540.53","-162,757.81","-3,571,087.46","-5,816,447.29","-2,239,578.46","-1,854,265.63","4,751,928.18","172,442.90","-414,880.44","-2,623,888.12","986,918.55","-3,542,997.10","-104,961.96","3,842,837.29","2,490,000.75","1,066,549.67","-3,357,678.02","4,499,383.45","-1,062,883.90","-1,156,686.76","-1,403,839.27","2,760,339.56","4,100,265.95","-321,666.98","-3,488,972.19",1836180.594,-1097044.484,"-1,848,098.87","1,599,841.22","-1,388,062.06","-125,939.40","-498,492.35","-361,080.91","-2,394,700.84","1,334,274.98","1,664,930.37",5201977.072,"-2,199,154.63","-722,743.22",661376.9928,"433,772.24","2,074,898.77","1,042,394.99","-333,826.40","1,265,768.63","-1,272,493.40","-6,730,312.08","2,133,577.46","-5,101,225.50","-4,229,226.92","-2,128,893.10","3,847,324.03","2,335,169.75","237,369.89","-3,083,557.99","57,867.59","-1,260,735.06","-2,006,345.54","-2,037,460.15","2,308,446.90",-2991271.735,"3,575,309.83","5,355,911.75","140,970.61","-3,864,509.74","392,577.15","11,762,189.84",-2612248.119,"2,226,323.23",4169123.237,"3,573,416.17","412,725.45","1,129,284.09","-4,401,343.98","-4,437,171.50","-3,455,570.33","-160,497.08","4,974,583.33","668,114.97","2,298,302.09","1,170,944.81","-567,238.14",-4080874.293,"-2,573,918.80","-11,055,711.91","-2,975,420.03","897,993.29","374,648.25","403,327.40","544,381.17","-2,056,123.66",1046486.272,"1,332,799.33","566,902.58","3,874,788.09","-5,012,973.07","-2,668,327.43","-2,000,722.50",-2247085.641,"1,144,753.75","-3,968,596.36","-226,167.11","1,070,257.89","-5,613,027.67","-1,216,310.02","4,056,388.82","-562,794.10","-713,010.24",-3651498.164,"-3,989,890.23","-914,809.87",-1611180.126,"-658,029.20","-3,612,344.20","-4,134,551.30","459,833.86","3,882,439.33","-3,553,695.61","92,006.11","2,355,598.24","-4,134.68","891,490.38","-1,590,644.73","1,996,916.55","-4,384,768.81","-1,046,585.38","-1,294,897.92","-5,929,929.50","1,334,827.84","10,399,919.90","12,630,243.84","-8,419,415.63","3,956,304.09","-7,104,523.73","2,420,496.60","-8,929,184.16","945,204.32","2,667,504.27","-3,729,927.47","-3,732,912.61","-1,880,479.01","-4,378,621.55","2,525,098.18","826,211.04","1,805,630.28","1,183,598.30","4,613,744.14","-992,180.01","-125,707.71","476,322.48","1,880,480.32",2563375.802,"1,719,992.86","-39,225.20","4,057,313.40",430261.3641,"-6,788,102.79","-1,890,377.49","5,201,655.46",-765919.9078,"108,199.35","-3,461,167.26","-1,330,655.75","646,595.42","-859,542.21","-3,365,767.55","428,874.21","1,744,113.76","-2,391,506.74","3,166,557.64","476,746.57",-1130684.243,"1,342,064.69","-1,045,071.45","969,119.79","-281,953.31","7,979,458.20","3,029,302.02","-3,785,022.01","-2,225,729.55","-5,014,623.73","-503,987.21",-297513.3522,"4,098,390.15",1683799.24,"-1,934,438.37","-1,595,649.53","-1,171,546.31","1,752,737.84","685,956.64","1,333,356.45","-1,329,321.10","-1,694,106.77","-1,059,221.66","1,771,568.49","-977,329.34","486,997.40","3,417,435.66","-2,758,057.05","1,100,180.49","-1,070,579.74","-2,538,084.20","-1,348,928.52","-2,299,960.03","-1,331,624.40","-91,159.21","-2,233,044.72","100,351.09","341,326.49","5,537,893.11","-306,049.01","739,481.80","-1,097,315.47","-4,465,967.82","-2,550,408.68","-3,555,297.78","-1,002,600.97","978,015.89","633,678.34","4,765,281.99","-785,043.95","-3,316,821.76",1587984.199,"-1,129,055.11","933,528.57","-3,547,914.42","1,215,907.77","2,193,788.67","4,735,098.32","7,067,068.85","-3,650,936.80","865,688.93","-473,985.59","-2,780,149.97",-554742.2238,"-740,869.76","-335,887.15","1,608,795.93","476,579.88","1,601,789.31","-223,105.34","-104,646.34","-1,933,356.13","-3,030,453.69","294,611.15","-2,182,488.83","739,452.08","-147,535.19","-1,600,596.99","5,134,737.68"
DERIVADOS ESTRUCTURALES,"26,734,853.95","-35,350,068.62","-10,486,115.52","14,870,416.25","68,149,187.85","-21,691,860.67",121468814.6,"-14,281,938.90","-46,354,844.78",-25638095.64,"-28,299,718.27","-44,002,028.85",35710853.57,98017198.7,"-27,970,569.36","50,627,807.51","17,565,302.37","-1,267,899.29",35645409.76,"-29,894,366.04","11,169,552.58","-97,025,881.53","-8,568,203.72","-50,962,631.91","-13,755,308.15","-131,841,563.32","-44,821,366.92","-22,561,095.96","-58,644,922.51","69,520,833.36","-19,104,467.54","10,495,063.44","-14,258,561.38","24,978,636.64","76,885,968.72","70,198,293.22","101,509,331.04",20767389.7,-94487161.62,"-99,257,089.89","-4,040,755.91","28,764,967.23","58,630,668.29","-61,582,859.74","-151,391.85","127,509,513.49","-87,900,473.31","67,530,509.56","56,142,588.04",35057984.5,38337666.01,"91,945,491.31","18,595,869.11","291,872,615.40","-59,975,875.79","-87,853,609.41","-101,137,874.34","47,534,584.82","14,524,546.93","-72,809,598.51","-77,157,402.41","-78,330,669.37","62,537,421.57","-88,594,555.69","36,270,085.80","101,011,923.05","9,768,664.73",-153615678.1,"-29,641,611.92","-14,404,450.62","16,125,097.27","-53,092,473.60","-48,276,707.08","-28,060,898.30","-6,928,431.79","-35,958,174.32","-13,140,197.53",-55691473.26,"-25,405,677.93","58,505,022.53","-130,903,533.75","-4,940,799.69","9,986,295.41","-23,072,104.07","43,737,075.41",-27427758,"9,041,579.42","64,035,900.50","12,802,423.85","-61,889,531.42",36538345.96,"43,355,117.67","5,724,420.81","45,151,507.74","81,056,202.26","-1,660,845.44","-24,287,728.75","-41,603,785.94","21,930,782.63","-83,541,679.08","33,144,157.26","32,219,642.86","-55,227,311.01","62,312,793.59","-84,439,726.10","-56,909,569.74","-67,760,697.59","-15,117,437.49","56,931,881.92","-51,545,386.88","-35,363,471.84","27,395,548.32","2,093,561.90","20,784,508.23","5,397,899.39",-23673122.3,"194,270,523.17","-150,576,741.03",12457466.83,"94,466,790.69",66630283.84,"-72,252,557.55","136,557,403.15","138,985,567.23","30,234,308.73","-195,113,425.47","-12,300,651.60",-79401824.86,"-114,354,259.97",22354.24146,"-107,654,528.56","-92,902,592.76","-89,323,428.43","-184,302,148.54","-44,253,282.65","-62,386,011.16","-76,363,116.30","-122,326,629.57","-5,145,994.32",58512587.56,73587798.66,"-95,589,744.87","-56,397,727.50","39,078,466.66","-9,273,564.32","47,023,317.14","-30,757,804.56","-135,497,502.83","-68,821,201.34","-46,572,573.32","32,903,093.35","-46,629,947.69","12,133,711.09","22,246,534.80","37,550,983.99",24206078.07,64282671.63,"37,881,074.11","-106,434,465.90","-53,070,412.35","19,739,092.21","-39,520,468.35","-24,655,354.97","5,588,525.42","-89,818,209.56","14,357,901.84","91,040,998.16","-13,494,245.45","102,396,004.66","-82,516,350.29","-39,665,254.44","-41,676,059.93","9,325,788.50","68,579,189.51","-34,380,829.75","10,990,898.59","44,894,563.15","2,769,860.69","9,313,454.68","-119,437,208.33","-78,864,584.38","50,742,000.32","-66,040,393.10","-82,988,404.83",-12544993.58,"-22,709,974.30","-111,237,083.26","-65,272,680.74","49,702,313.80","87,091,410.54","120,299,201.15","79,081,784.73","-27,186,699.48","31,292,397.01","-74,222,300.92","-96,416,819.24","-49,220,717.86","-63,326,983.99","55,332,903.78","-36,138,293.48","-19,324,787.11","-16,004,353.12","52,635,685.68","13,727,628.90","142,775,465.06","-55,853,924.84","81,345,359.91","117,854,130.92","-76,243,523.26","-74,048,342.21","41,972,058.06","46,597,098.74","-23,369,852.11","-40,914,700.15","-91,511,807.24","-48,551,454.97",46101129.15,"-30,096,694.36","38,249,204.17","63,294,463.23","30,207,326.76","-25,299,660.74",27371233.08,"3,123,157.94","111,491,857.05","27,261,045.08","166,479,431.84","-91,306,194.28","-155,853,526.39","82,678,697.88","-134,243,164.61","-3,182,564.15","-124,740,272.84","130,569,935.76","-91,212,984.79",9519266.954,"-13,195,076.30","702,173.98",-892542.5959,"-44,782,396.84","-26,205,706.09","-75,894,390.32","-13,468,088.73","20,909,318.51","-34,637,072.54","-73,069,493.32","94,230,228.29","-43,541,181.92","10,696,121.55","-155,312,775.16","-14,684,625.85","3,422,086.88","-160,198,826.20",32408460.5,"55,018,792.14",-74199073.59,"141,343,938.57","-104,374,027.37","-6,150,469.49","-36,819,929.20","-20,260,177.80","-4,309,297.01","51,539,787.46","43,611,259.54","-19,023,585.98","-2,429,753.90","-49,046,648.69",-27591680.87,"4,345,054.08","-54,452,205.40","45,882,464.32","56,492,874.60","-35,773,427.58","-40,564,486.44","-58,297,398.83","-11,162,844.11","-13,753,180.96","-7,103,438.42","-37,207,209.57","-89,660,101.78","-16,284,573.85","9,231,515.92","-41,268,402.10","-120,112,952.00","86,414,044.27","496,694.36","86,612,739.96","38,126,809.99","-57,884,421.14","-46,951,195.24","31,994,853.77","-78,305,210.99","-50,390,472.57","23,164,522.47","20,163,342.71","85,022,590.49","-93,844,488.31","394,036,042.79","-139,178,692.16","64,216,838.95","-44,365,908.77","32,274,351.94",13215519.59,"-73,127,047.43","-43,822,200.43","139,164,792.08",-72908652.57,42450944.91,-35830359.12,"13,400,281.99","28,490,191.85","182,767,388.03","83,697,064.93","-34,621,909.19","-82,950,794.19","31,159,727.52","103,913,792.47","-151,073,989.95","157,125,172.68","-62,594,797.88","-20,676,310.50","11,751,686.16","129,856,925.88","1,960,973.81","-59,525,193.72","-115,827,128.10","-3,861,300.30","-38,524,996.29","-69,980,705.57","25,750,145.31","106,780,709.37","-3,267,194.31",33555676.98,"-7,504,135.99","-75,373,169.75","-168,371,560.26","102,378,426.15","-14,571,996.20","-45,501,369.15","3,437,786.55",27194780.02,31371732.26,"6,606,928.42","30,068,610.45","159,583,523.15","-96,842,489.02","-56,769,375.43","-7,303,968.29",12494701.62,"1,243,485.51","-61,001,616.16","-9,234,519.17","-3,527,450.46","27,884,073.95","23,349,553.54","123,156,735.43","-151,824,423.24","30,225,232.78","-7,126,037.80","-116,503,598.68","-95,771,868.90","12,522,459.70","-37,548,135.64","-54,348,213.62",-120085009.9,"41,986,483.67","-41,018,784.62","-16,738,264.75","9,471,957.91","-8,808,037.60","-34,903,649.38","-35,458,494.53","19,606,617.82","-82,215,044.44","-20,206,768.76","-14,029,754.76","30,804,506.04",-107978668.6,55358040.76,"167,304,442.17","441,580,849.83","-87,716,354.78","136,205,499.34","43,299,130.25","-30,618,712.30","-18,368,128.36","-145,992,441.44","73,916,912.33","100,228,487.39","-160,478,875.23","-16,087,329.52",-83276333.32,-46706073.1,"-69,929,840.25","28,450,667.33","3,126,651.13","133,468,573.85","-80,625,883.45","-19,170,330.08","-77,887,008.27","3,306,323.15","51,907,771.28","-78,077,628.72",-8322841.786,"-48,903,269.53","14,911,476.10","33,085,131.95","-28,347,434.64","55,746,650.42","62,642,521.97","-28,426,217.73","-108,850,090.94","-73,096,578.63","49,817,423.83","67,439,749.64","-46,522,082.18","-19,329,482.55","-19,215,070.77","-70,964,316.72","56,692,501.70","-5,689,253.79",-111994989.5,"4,437,198.49","-41,241.19","2,941,238.33","-45,463,610.44","80,851,912.47","-1,655,059.42","-49,824,050.82","-60,371,252.40","-59,649,018.37","-72,860,263.93","36,459,001.14","38,667,751.11","-28,337,142.68","13,878,869.50","-76,618,669.23","35,424,432.83","-17,707,969.61","-10,789,431.04","-24,727,727.98","21,235,041.15",-40658985.98,"-58,901,087.43","-38,785,395.60",-16575634.01,"-23,859,761.86","73,663,079.52","-30,587,755.13","-12,056,698.83","-37,076,421.82","8,906,346.92","-46,620,128.17","-41,059,334.75","6,796,145.09","-23,604,535.63","-20,974,192.62","1,224,723.34","6,183,624.54","92,913,249.85","-56,809,358.74","-2,966,864.79","86,995,011.37","-66,444,469.66","58,009,285.61","-63,343,110.34","18,578,150.26","-16,178,647.68",-41172894.37,"55,008,271.78","-15,615,528.94",-22408963.13,"890,417.61","34,763,124.09","-45,660,887.60","-50,630,572.15","-114,469,677.92","24,179,692.28","42,017,432.96","69,143,474.57","-86,571,231.17","30,608,609.78",-10094880.01,"1,476,446.61","-67,230,334.29","1,800,906.67","-25,602,952.99","-10,582,544.26","-12,441,980.11","-6,605,076.01","9,187,193.41","-40,850,137.78",-31231288.61,"-32,374,522.60","16,975,624.64","-36,014,612.46","-31,559,065.34","21,324,551.59","-11,849,087.88",67180534.39
